provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
metno,temperature_2m,48,48,100.0,0.0,1.0669583333333332,6.2047083333333335,7.189455907786068,-0.3576113671629956,56.25,43.75
metno,wind_direction_100m,48,48,100.0,0.0,-109.0168125,109.0168125,114.58681962790267,-0.36968985328571885,0.0,100.0
metno,wind_speed_100m,48,48,100.0,0.0,-1.8333160973229548,1.9355033120722418,2.341118450895106,0.14865956760709215,8.333333333333332,91.66666666666666
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,3.531541666666667,7.0531250000000005,8.118269597026204,-0.45662063952691245,66.66666666666666,33.33333333333333
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-85.1043125,85.10431249999999,90.39291889636138,-0.38924057195560646,0.0,100.0
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,10.679541666666667,10.679541666666665,11.197226135297974,-0.2723716897679832,100.0,0.0
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,2.1868750000000006,6.4083749999999995,7.4252659464156565,-0.2760327051096568,62.5,37.5
openweather,wind_direction_100m,16,16,100.0,0.0,-85.55675,85.55675,91.09209163670576,-0.4030550872294722,0.0,100.0
openweather,wind_speed_100m,16,16,100.0,0.0,-2.3403337210891375,2.3635078986178932,2.9054820799283516,-0.04583594551624622,6.25,93.75
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,0.4773750000000005,6.804666666666666,7.9658480140744174,-0.2870299342325644,54.166666666666664,45.83333333333333
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-75.02097916666666,75.64581249999999,82.89465472777783,0.2694929842055738,2.083333333333333,97.91666666666666
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-2.9563785184456886,3.0186985048160557,3.649341170707439,-0.7553715008113658,12.5,87.5
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,1.0752916666666668,6.8174583333333345,8.045571582139663,-0.43518078510364294,52.083333333333336,47.91666666666667
weatherapi,wind_direction_100m,48,48,100.0,0.0,-81.56264583333333,81.56264583333332,85.54077241256067,-0.22287682390906308,0.0,100.0
weatherapi,wind_speed_100m,48,48,100.0,0.0,-2.375622847302146,2.4496589278227248,2.9782272333210353,-0.21463042352491124,6.25,93.75
