provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
metno,temperature_2m,48,48,100.0,0.0,0.08362500000000002,4.0637083333333335,4.863897742551749,0.17295303447316376,47.91666666666667,52.083333333333336
metno,wind_direction_100m,48,48,100.0,0.0,-8.798062499999999,73.45039583333333,97.66947179102331,0.6374236334777311,56.25,43.75
metno,wind_speed_100m,48,48,100.0,0.0,-2.5891028405452157,2.6939895069803392,3.2873026522675044,-0.644299716572362,12.5,87.5
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,-0.30387499999999973,5.074625,6.107379177410444,-0.0182204395349997,47.91666666666667,52.083333333333336
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-14.000145833333333,76.2379375,95.04904389281093,0.5387511195667294,54.166666666666664,45.83333333333333
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,4.385791666666667,5.83575,6.8906623260515865,-0.20378337155479742,72.91666666666666,27.083333333333332
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,-0.4874999999999997,4.7135,5.6419855215163395,0.21208693474189771,56.25,43.75
openweather,wind_direction_100m,16,16,100.0,0.0,-13.244249999999996,68.898875,94.54921091024504,0.1989977470165098,25.0,75.0
openweather,wind_speed_100m,16,16,100.0,0.0,-2.9658124051351464,2.9658124051351464,3.3698007908311443,-0.11227242829274416,0.0,100.0
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,-2.2059583333333332,4.967833333333333,5.993370747473134,-0.04521598668871898,37.5,62.5
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-20.445979166666664,81.06927083333333,103.98893628621028,0.12768753522915463,41.66666666666667,58.333333333333336
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-2.869506478994854,2.869506478994854,3.317586393361412,0.0030160267671053204,0.0,100.0
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,-2.512208333333333,7.297750000000001,8.483315070379817,-0.3934885032474068,39.58333333333333,60.416666666666664
weatherapi,wind_direction_100m,48,48,100.0,0.0,-27.395979166666663,73.48843749999999,96.82923217329999,0.24240950747612755,22.916666666666664,77.08333333333334
weatherapi,wind_speed_100m,48,48,100.0,0.0,-3.2644525102018886,3.2644525102018895,3.5718920853235194,0.2061887592599559,0.0,100.0
