provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,47,47,100.0,0.0,-0.03076595744680851,0.03076595744680851,0.10893624916885436,,0.0,10.638297872340425
metno,temperature_2m,47,47,100.0,0.0,15.128319148936171,15.128319148936175,17.278079564162564,-0.3956802652337557,100.0,0.0
metno,wind_direction_100m,47,47,100.0,0.0,-41.517765957446805,146.57848936170214,148.54264140077473,0.23219773042472366,31.914893617021278,68.08510638297872
metno,wind_speed_100m,47,47,100.0,0.0,1.5390955077924056,1.9350071100960695,2.3950060617621687,-0.2787843771283464,70.2127659574468,29.78723404255319
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,12.548208333333335,12.553166666666668,14.879586869824939,-0.36554960688665694,97.91666666666666,2.083333333333333
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-107.47931249999999,143.97527083333333,146.5990592111838,-0.7111406845338621,10.416666666666668,89.58333333333334
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,24.985791666666668,24.985791666666668,26.089020882834987,-0.17132307115045461,100.0,0.0
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,14.676875,14.676875,16.37221378968037,-0.3128554300275997,100.0,0.0
openweather,wind_direction_100m,16,16,100.0,0.0,-124.11925,145.501,147.87759645649504,-0.8383591729473541,6.25,93.75
openweather,wind_speed_100m,16,16,100.0,0.0,3.9187967213434938,3.9187967213434938,4.79794408151908,-0.3576477183229511,100.0,0.0
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,12.794041666666667,12.794041666666667,15.02220596594699,-0.3804852246634544,100.0,0.0
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-41.0605625,153.25585416666664,154.49970702217365,-0.42797021033766375,33.33333333333333,66.66666666666666
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-0.13464597776487652,1.967184122019925,2.1902135633150124,-0.8757834258142709,50.0,50.0
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,14.327375000000002,14.327375000000002,16.660333792674543,-0.696375798299682,100.0,0.0
weatherapi,wind_direction_100m,48,48,100.0,0.0,-107.75014583333332,143.9042708333333,146.36132826537263,-0.6711466230118297,10.416666666666668,89.58333333333334
weatherapi,wind_speed_100m,48,48,100.0,0.0,3.5976342356783864,3.618605197086758,4.445184130589944,-0.13562956147029018,95.83333333333334,4.166666666666666
