provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,47,47,100.0,0.0,0.1947659574468085,0.2440851063829787,0.3102282618783871,-0.2167924347881794,70.2127659574468,8.51063829787234
metno,temperature_2m,47,47,100.0,0.0,6.051723404255319,6.05172340425532,7.173757392584417,0.49872315672920586,100.0,0.0
metno,wind_direction_100m,47,47,100.0,0.0,52.32053191489362,52.32053191489362,58.337594384534476,0.3433344640659689,100.0,0.0
metno,wind_speed_100m,47,47,100.0,0.0,0.6400623165395135,1.7800247363761672,2.18883861299093,-0.39461932013725287,61.702127659574465,38.297872340425535
openmeteo,precipitation,72,48,66.66666666666667,0.0,1.0365416666666667,1.0411666666666666,1.2192770569754303,-0.2663586902977665,95.83333333333334,4.166666666666666
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,7.219041666666667,7.219041666666667,8.499447849713533,-0.6379284147759938,100.0,0.0
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,40.7081875,45.400312500000005,52.63279984892976,-0.2147535884283988,83.33333333333334,16.666666666666664
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,12.352458333333333,12.352458333333333,13.240246968681008,-0.6318209989709593,100.0,0.0
openweather,precipitation,16,16,100.0,0.0,0.22854166666666664,0.25854166666666667,0.3003620500514523,-0.2969294624945343,93.75,6.25
openweather,temperature_2m,16,16,100.0,0.0,8.061875,8.061875,9.2137749117829,-0.0560742605719673,100.0,0.0
openweather,wind_direction_100m,16,16,100.0,0.0,56.005750000000006,56.005750000000006,60.19206163398959,0.10979575575136559,100.0,0.0
openweather,wind_speed_100m,16,16,100.0,0.0,1.4385999950221664,2.1479166536243284,2.4885532187082657,-0.5683115845403013,75.0,25.0
visualcrossing,precipitation,48,48,100.0,0.0,0.19279166666666667,0.23275,0.29247343184182273,-0.14747593063624645,83.33333333333334,8.333333333333332
visualcrossing,temperature_2m,48,48,100.0,0.0,7.129458333333333,7.129458333333332,8.172441572137423,0.3941022520424478,100.0,0.0
visualcrossing,wind_direction_100m,48,48,100.0,0.0,36.48110416666667,43.72052083333333,50.28652730375039,-0.229558099567188,81.25,18.75
visualcrossing,wind_speed_100m,48,48,100.0,0.0,0.3745206979052926,2.080391946440178,2.3901733941902914,-0.564907441978785,58.333333333333336,41.66666666666667
weatherapi,precipitation,48,48,100.0,0.0,0.10258333333333335,0.15408333333333332,0.21967466475070202,-0.19728198878425543,89.58333333333334,8.333333333333332
weatherapi,temperature_2m,48,48,100.0,0.0,8.096124999999999,8.104750000000001,9.65302225989353,-0.6069890766794283,97.91666666666666,2.083333333333333
weatherapi,wind_direction_100m,48,48,100.0,0.0,46.58318750000001,49.555312500000014,61.244851102800205,-0.8692734789382544,85.41666666666666,14.583333333333334
weatherapi,wind_speed_100m,48,48,100.0,0.0,0.1766454969339473,2.4432243419072326,2.7280354491977223,-0.7213639021807948,45.83333333333333,54.166666666666664
